date,sku_id,category,subcategory,price,discount_percentage,rating,city,channel,weather,90_days_sales,light,vibrant
2024-05-16,SKU2824,Ethnic Wear,Saree,4914,0,4.6,Mumbai,Brand Website,Summer,144,False,True
2023-03-07,SKU9935,Ethnic Wear,Saree,4122,0,3.8,Delhi,Brand Website,Summer,123,False,True
2025-05-09,SKU1434,Ethnic Wear,Lehenga,8902,15,4.4,Hyderabad,Brand Website,Summer,63,False,True
2024-11-27,SKU1106,Ethnic Wear,Saree,5138,0,3.8,Bengaluru,Brand Website,Winter,359,False,True
2025-01-05,SKU2674,Ethnic Wear,Kurta,2908,20,3.9,Delhi,Offline,Winter,94,True,False
2024-08-23,SKU8527,Ethnic Wear,Kurta,2981,20,3.8,Delhi,Offline,Monsoon,92,True,False
2023-07-26,SKU4733,Ethnic Wear,Kurta,3056,10,4.2,Pune,Myntra,Monsoon,162,True,False
2024-06-30,SKU3664,Ethnic Wear,Kurta,1792,20,4.5,Lucknow,Offline,Summer,151,True,False
2024-07-06,SKU5010,Ethnic Wear,Saree,6281,0,4.5,Bengaluru,Offline,Monsoon,80,False,True
2025-04-01,SKU1916,Ethnic Wear,Saree,5096,0,3.8,Hyderabad,Myntra,Summer,126,False,True
2025-03-21,SKU6155,Ethnic Wear,Saree,5879,0,3.9,Hyderabad,Brand Website,Summer,78,False,True
2025-05-27,SKU9830,Ethnic Wear,Lehenga,10390,15,4.0,Pune,Brand Website,Summer,55,False,True
2023-08-13,SKU3266,Ethnic Wear,Kurta,2126,25,3.7,Bhopal,Myntra,Monsoon,140,True,False
2025-08-16,SKU2040,Ethnic Wear,Lehenga,10167,10,5.0,Prayagraj,Offline,Monsoon,37,False,True
2024-06-30,SKU1188,Ethnic Wear,Lehenga,9393,0,3.9,Delhi,Brand Website,Summer,40,False,True
2025-11-05,SKU1053,Ethnic Wear,Kurta,1935,30,4.4,Pune,Brand Website,Winter,282,True,False
2023-11-27,SKU9317,Ethnic Wear,Saree,6209,30,4.9,Hyderabad,Myntra,Winter,654,False,True
